Localidad,Rubro,NomComercio,Direccion,Prefijo,NroTel,Dto,Provincia,ImgCooBUENOS AIRESp,ImgCoopLink,ImgComercio,Latitud,Longitud
AZUL,INDUMENTARIA,LUZ DE LUNA,BURGOS NORTE 600,2281,657618,15,BUENOS AIRES,,,,-36.761665,-59.843708
AZUL,INDUMENTARIA,MAURO SERGIO,COMERCIO 598,2281,407818,15,BUENOS AIRES,,,,-36.7749672,-59.8540382
AZUL,INDUMENTARIA,MEGARRUBROS VALENTINO,BURGOS NORTE 88,2281,660370,15,BUENOS AIRES,,,,-36.7680643,-59.8516746
AZUL,INDUMENTARIA,MISTRAL-AZUL,AV. 25 DE MAYO 611,2281,422144,15,BUENOS AIRES,,,,-36.779775,-59.8601628
AZUL,INDUMENTARIA,NELSON JEANS,MORENO 639,2281,419067,15,BUENOS AIRES,,,,-36.7792741,-59.8613797
AZUL,INDUMENTARIA,ODISEA DEPORTES,AV. PERÓN 445,2281,593384,15,BUENOS AIRES,,,,-36.7808205,-59.8668765
AZUL,INDUMENTARIA,PILCHERÍA Y R. KARY,SAN MARTÍN 1358,2281,584071,15,BUENOS AIRES,,,,-36.7900297,-59.8476664
AZUL,INDUMENTARIA,Q2,AMADO DIAB 379,2281,570568,15,BUENOS AIRES,,,,-36.7718916,-59.8581896
AZUL,INDUMENTARIA,SKB,H. YRIGOYEN 649,2281,534300,15,BUENOS AIRES,,,,-36.7801106,-59.8593062
AZUL,INDUMENTARIA,SPRING CREEK,ROCA 557,2281,504128,15,BUENOS AIRES,,,,-36.7946377,-59.8468724
AZUL,INDUMENTARIA,SUMMER TIME,SAN MARTÍN 685,2281,502217,15,BUENOS AIRES,,,,-36.7811313,-59.8596627
AZUL,INDUMENTARIA,TERCER TIEMPO,H. YRIGOYEN 695,2281,426724,15,BUENOS AIRES,,,,-36.78067,-59.8586632
AZUL,INDUMENTARIA,TIENDA TOLY,ARENALES 859,2281,656868,15,BUENOS AIRES,,,,-36.7843446,-59.86253
AZUL,INDUMENTARIA,YO QUE C,SAN MARTÍN 518,2281,429283,15,BUENOS AIRES,,,,-36.7788346,-59.8622523
AZUL,INDUMENTARIA,9 LUNAS HOMBRES,CANEVA 796,2281,589250,15,BUENOS AIRES,,,,-36.7870439,-59.8564135
AZUL,INDUMENTARIA,JUAN SIN TIERRA,SAN MARTÍN 629,2281,664785,15,BUENOS AIRES,,,,-36.7805997,-59.8605339
